,1. open,2. high,3. low,4. close,5. volume,BTC_USD_Close
2024-04-25,64255.77000000,65287.69000000,62747.18000000,64484.44000000,13256.29877715,64484.44
2024-04-26,64484.44000000,64810.00000000,63287.76000000,63742.39000000,10151.96247701,63742.39
2024-04-27,63742.39000000,63900.00000000,62389.00000000,63422.00000000,5312.16741262,63422.0
2024-04-28,63422.34000000,64333.33000000,62743.81000000,63108.94000000,4415.96831554,63108.94
2024-04-29,63109.76000000,64200.00000000,61741.01000000,63844.85000000,10712.13554316,63844.85
2024-04-30,63845.01000000,64727.81000000,59040.30000000,60622.10000000,21106.65540758,60622.1
2024-05-01,60621.20000000,60785.49000000,56500.00000000,58265.59000000,26611.93127340,58265.59
2024-05-02,58267.81000000,59641.03000000,56903.79000000,59071.89000000,13593.00905888,59071.89
2024-05-03,59070.30000000,63365.72000000,58821.05000000,62913.03000000,15954.29032707,62913.03
2024-05-04,62913.03000000,64546.00000000,62565.82000000,63902.88000000,6414.57464352,63902.88
2024-05-05,63902.88000000,64636.75000000,62908.34000000,64023.45000000,4474.51959190,64023.45
2024-05-06,64023.45000000,65523.44000000,62704.48000000,63162.24000000,11241.77217344,63162.24
2024-05-07,63161.35000000,64415.06000000,62252.64000000,62315.76000000,8994.93773002,62315.76
2024-05-08,62315.75000000,63013.05000000,60851.04000000,61169.53000000,7486.42596849,61169.53
2024-05-09,61169.53000000,63424.14000000,60601.60000000,63073.57000000,8360.05538240,63073.57
2024-05-10,63073.55000000,63470.00000000,60150.00000000,60787.47000000,11511.12990976,60787.47
2024-05-11,60787.99000000,61482.00000000,60450.13000000,60814.63000000,2338.06810837,60814.63
2024-05-12,60814.64000000,61843.45000000,60576.05000000,61453.02000000,2694.97577935,61453.02
2024-05-13,61453.01000000,63456.18000000,60738.51000000,62932.37000000,9170.80865115,62932.37
2024-05-14,62927.44000000,63103.02000000,61024.51000000,61539.84000000,13456.61307634,61539.84
2024-05-15,61539.70000000,66480.00000000,61299.57000000,66244.69000000,21821.38858725,66244.69
2024-05-16,66244.68000000,66772.83000000,64588.50000000,65252.18000000,12012.70197182,65252.18
2024-05-17,65252.17000000,67500.00000000,65113.46000000,67046.33000000,11710.00723895,67046.33
2024-05-18,67046.34000000,67407.79000000,66624.06000000,66923.87000000,3880.58113972,66923.87
2024-05-19,66923.87000000,67701.91000000,65852.02000000,66261.62000000,3565.11346165,66261.62
2024-05-20,66260.04000000,71560.90000000,66057.03000000,71432.17000000,20415.88691709,71432.17
2024-05-21,71432.16000000,71980.00000000,69146.01000000,70142.84000000,16102.06132545,70142.84
2024-05-22,70142.88000000,70659.99000000,68887.52000000,69109.93000000,10889.10300904,69109.93
2024-05-23,69109.93000000,70066.95000000,66259.00000000,67940.45000000,14340.27843589,67940.45
2024-05-24,67932.79000000,69278.75000000,66587.91000000,68547.80000000,10374.95988085,68547.8
2024-05-25,68545.52000000,69605.03000000,68487.44000000,69289.67000000,2501.11901959,69289.67
2024-05-26,69289.69000000,69522.00000000,68097.38000000,68473.72000000,2037.67329089,68473.72
2024-05-27,68470.80000000,70613.39000000,68210.12000000,69368.72000000,5384.62278063,69368.72
2024-05-28,69366.31000000,69533.96000000,67194.59000000,68321.98000000,11975.93086328,68321.98
2024-05-29,68321.99000000,68864.11000000,67081.66000000,67569.45000000,8970.02059069,67569.45
2024-05-30,67569.44000000,69536.89000000,67092.91000000,68338.58000000,11841.26381893,68338.58
2024-05-31,68338.58000000,69024.71000000,66584.47000000,67472.41000000,10690.85876224,67472.41
2024-06-01,67473.07000000,67837.33000000,67371.28000000,67719.29000000,1949.57008052,67719.29
2024-06-02,67719.29000000,68411.00000000,67260.00000000,67735.52000000,2997.15241527,67735.52
2024-06-03,67731.14000000,70295.78000000,67568.00000000,68791.00000000,11884.90882705,68791.0
2024-06-04,68791.04000000,71108.90000000,68542.37000000,70542.32000000,18042.19396496,70542.32
2024-06-05,70541.68000000,71804.13000000,70356.49000000,71121.11000000,10123.18029180,71121.11
2024-06-06,71120.65000000,71650.56000000,70093.98000000,70773.64000000,7716.50799940,70773.64
2024-06-07,70773.63000000,71974.04000000,68298.55000000,69324.53000000,13768.98185265,69324.53
2024-06-08,69326.71000000,69546.58000000,69126.22000000,69304.05000000,2631.94610412,69304.05
2024-06-09,69303.80000000,69848.94000000,69123.99000000,69637.87000000,1826.03995531,69637.87
2024-06-10,69641.08000000,70187.53000000,69141.51000000,69497.73000000,6088.40363232,69497.73
2024-06-11,69495.97000000,69547.82000000,66018.69000000,67316.53000000,17354.68915468,67316.53
2024-06-12,67316.52000000,70032.00000000,66883.32000000,68248.60000000,17140.01139413,68248.6
2024-06-13,68248.59000000,68474.49000000,66200.00000000,66738.85000000,11916.13211129,66738.85
2024-06-14,66746.46000000,67322.72000000,65005.00000000,66004.39000000,11520.15791899,66004.39
2024-06-15,66004.36000000,66428.57000000,65800.86000000,66192.00000000,2004.14215480,66192.0
2024-06-16,66192.00000000,66931.18000000,65999.00000000,66628.75000000,2118.65163435,66628.75
2024-06-17,66629.38000000,67274.96000000,65050.00000000,66481.81000000,14487.64060903,66481.81
2024-06-18,66481.81000000,66574.33000000,64010.01000000,65152.80000000,15937.73176483,65152.8
2024-06-19,65150.90000000,65709.26000000,64635.48000000,64943.79000000,4958.38361329,64943.79
2024-06-20,64945.67000000,66455.52000000,64500.00000000,64840.88000000,9346.70807899,64840.88
2024-06-21,64840.89000000,65017.10000000,63300.93000000,64120.28000000,9816.79599936,64120.28
2024-06-22,64120.28000000,64523.91000000,63910.01000000,64235.01000000,2324.21500373,64235.01
2024-06-23,64235.00000000,64499.95000000,63125.75000000,63171.43000000,2054.79092364,63171.43
2024-06-24,63169.36000000,63343.91000000,58414.28000000,60263.00000000,21418.04594647,60263.0
2024-06-25,60262.16000000,62400.00000000,60217.36000000,61789.71000000,15201.58247730,61789.71
2024-06-26,61794.47000000,62470.00000000,60656.80000000,60816.68000000,11392.79835017,60816.68
2024-06-27,60818.86000000,62346.16000000,60546.94000000,61615.39000000,10530.35898848,61615.39
2024-06-28,61611.43000000,62170.62000000,59868.00000000,60313.35000000,11381.02587380,60313.35
2024-06-29,60312.36000000,61122.66000000,60273.80000000,60885.67000000,3199.03650127,60885.67
2024-06-30,60884.44000000,62942.67000000,60611.01000000,62668.26000000,4263.22924826,62668.26
2024-07-01,62669.14000000,63801.26000000,62448.46000000,62830.13000000,12326.70696465,62830.13
2024-07-02,62830.94000000,63223.57000000,61000.00000000,62040.22000000,10688.64132628,62040.22
2024-07-03,62039.44000000,62197.01000000,59332.76000000,60145.01000000,12066.71677065,60145.01
2024-07-04,60145.01000000,60429.27000000,56709.73000000,57042.14000000,17969.35692426,57042.14
2024-07-05,57036.45000000,57515.60000000,53499.90000000,56639.43000000,28052.41501655,56639.43
2024-07-06,56634.53000000,58481.97000000,56020.32000000,58244.75000000,6449.32501293,58244.75
2024-07-07,58240.36000000,58448.89000000,55717.23000000,55854.09000000,5320.91645368,55854.09
2024-07-08,55852.61000000,58200.00000000,54278.93000000,56699.43000000,19043.04861272,56699.43
2024-07-09,56701.18000000,58295.31000000,56276.37000000,58047.86000000,11757.76025902,58047.86
2024-07-10,58047.86000000,59481.93000000,57157.28000000,57712.59000000,11619.63229345,57712.59
2024-07-11,57713.40000000,59533.06000000,57036.41000000,57340.77000000,11433.53379518,57340.77
2024-07-12,57343.66000000,58550.00000000,56538.33000000,57909.03000000,10516.60400149,57909.03
2024-07-13,57908.61000000,59875.00000000,57770.92000000,59224.58000000,4255.10545721,59224.58
2024-07-14,59224.58000000,61428.67000000,59209.20000000,60808.42000000,6132.37403058,60808.42
2024-07-15,60804.97000000,64943.61000000,60666.59000000,64757.16000000,20601.73387957,64757.16
2024-07-16,64757.16000000,65405.89000000,62410.33000000,65088.99000000,14691.92002303,65088.99
2024-07-17,65086.55000000,66139.00000000,63853.99000000,64085.81000000,10647.79709095,64085.81
2024-07-18,64085.82000000,65130.88000000,63222.60000000,63982.86000000,7637.52760383,63982.86
2024-07-19,63977.64000000,67504.22000000,63289.15000000,66707.61000000,15163.05745737,66707.61
2024-07-20,66707.61000000,67635.00000000,66271.00000000,67163.83000000,4671.38885135,67163.83
2024-07-21,67163.82000000,68380.00000000,65820.18000000,68181.28000000,6027.86201344,68181.28
2024-07-22,68181.16000000,68495.00000000,66569.42000000,67558.22000000,11844.79119584,67558.22
2024-07-23,67560.03000000,67786.84000000,65444.30000000,65939.24000000,10791.03782177,65939.24
2024-07-24,65939.24000000,67131.17000000,65090.61000000,65366.40000000,7702.25551129,65366.4
2024-07-25,65358.86000000,66161.98000000,63412.46000000,65795.42000000,10452.25571747,65795.42
2024-07-26,65795.52000000,68216.66000000,65705.60000000,67924.08000000,9315.20918753,67924.08
2024-07-27,67921.46000000,69418.15000000,66635.28000000,67899.41000000,10233.62198513,67899.41
2024-07-28,67901.81000000,68308.82000000,67021.80000000,68244.30000000,3505.54836910,68244.3
2024-07-29,68244.30000000,70000.00000000,66400.01000000,66771.45000000,13641.48475825,66771.45
2024-07-30,66767.14000000,66994.15000000,65283.68000000,66169.68000000,8733.57157991,66169.68
2024-07-31,66169.68000000,66837.40000000,64500.00000000,64609.62000000,8986.37529253,64609.62
2024-08-01,64609.61000000,65593.56000000,62212.81000000,65288.18000000,15636.72205775,65288.18
2024-08-02,65293.48000000,65557.86000000,61150.00000000,61418.06000000,15390.00963957,61418.06
2024-08-03,61418.06000000,62171.58000000,59819.13000000,60674.93000000,8019.39450918,60674.93
2024-08-04,60674.93000000,61082.30000000,57123.00000000,58130.95000000,10319.01091658,58130.95
2024-08-05,58131.31000000,58282.83000000,49050.01000000,54029.12000000,59125.78926672,54029.12
2024-08-06,54037.90000000,57091.16000000,53965.57000000,56048.08000000,16897.67519536,56048.08
2024-08-07,56048.07000000,57757.15000000,54564.15000000,55148.10000000,13971.51518710,55148.1
2024-08-08,55144.14000000,62755.24000000,54737.32000000,61705.58000000,20623.04985861,61705.58
2024-08-09,61704.05000000,61764.38000000,59552.46000000,60862.13000000,11569.80744379,60862.13
2024-08-10,60864.71000000,61500.00000000,60255.61000000,60935.02000000,3157.63609699,60935.02
2024-08-11,60935.01000000,61868.69000000,58312.63000000,58722.49000000,5229.37008498,58722.49
2024-08-12,58717.44000000,60721.77000000,57653.31000000,59358.78000000,12183.92944247,59358.78
2024-08-13,59358.78000000,61615.43000000,58402.01000000,60603.19000000,10879.76363828,60603.19
2024-08-14,60603.19000000,61827.20000000,58453.56000000,58690.62000000,12938.61473824,58690.62
2024-08-15,58690.62000000,59883.49000000,56120.00000000,57543.61000000,14506.63316989,57543.61
2024-08-16,57543.57000000,59871.61000000,57096.56000000,58888.99000000,11930.21788221,58888.99
2024-08-17,58888.99000000,59711.02000000,58803.45000000,59497.49000000,2787.56355634,59497.49
2024-08-18,59497.49000000,60284.99000000,58422.00000000,58437.90000000,4325.64817169,58437.9
2024-08-19,58436.20000000,59639.81000000,57820.00000000,59452.67000000,8539.29378706,59452.67
2024-08-20,59455.81000000,61457.03000000,58571.96000000,59017.59000000,11062.05279919,59017.59
2024-08-21,59017.59000000,61849.98000000,58793.89000000,61163.28000000,13380.11101719,61163.28
2024-08-22,61167.54000000,61430.48000000,59750.00000000,60383.29000000,9608.69553680,60383.29
2024-08-23,60383.28000000,64987.00000000,60343.20000000,64086.72000000,17852.77117167,64086.72
2024-08-24,64091.63000000,64529.78000000,63564.22000000,64179.63000000,5020.91676004,64179.63
2024-08-25,64179.63000000,65050.08000000,63793.74000000,64251.93000000,4012.30764642,64251.93
2024-08-26,64250.01000000,64509.36000000,62806.80000000,62840.00000000,10741.96651081,62840.0
2024-08-27,62840.09000000,63226.26000000,58025.49000000,59439.64000000,14195.89496578,59439.64
2024-08-28,59437.68000000,60236.98000000,57851.62000000,59045.88000000,10001.12169866,59045.88
2024-08-29,59047.94000000,61194.09000000,58729.39000000,59364.47000000,10933.22040343,59364.47
2024-08-30,59353.12000000,59929.63000000,57700.00000000,59112.77000000,9382.91245080,59112.77
2024-08-31,59117.59000000,59446.99000000,58739.31000000,58968.37000000,1368.21775121,58968.37
2024-09-01,58968.37000000,59070.55000000,57200.00000000,57299.00000000,4411.05388122,57299.0
2024-09-02,57291.21000000,59423.00000000,57119.01000000,59139.83000000,4318.65446030,59139.83
2024-09-03,59138.89000000,59825.70000000,57394.49000000,57468.84000000,8264.44971184,57468.84
2024-09-04,57460.50000000,58531.25000000,55555.00000000,57971.00000000,13715.96171494,57971.0
2024-09-05,57971.00000000,58326.12000000,55628.04000000,56156.82000000,12281.57828747,56156.82
2024-09-06,56156.82000000,56995.00000000,52530.00000000,53950.01000000,18495.45064356,53950.01
2024-09-07,53950.00000000,54847.00000000,53733.10000000,54156.33000000,3284.57722628,54156.33
2024-09-08,54159.60000000,55315.95000000,53623.95000000,54881.11000000,3684.86816392,54881.11
2024-09-09,54881.10000000,58119.97000000,54565.56000000,57053.90000000,10203.03329517,57053.9
2024-09-10,57047.82000000,58050.35000000,56377.76000000,57645.59000000,6433.21371111,57645.59
2024-09-11,57641.15000000,58014.35000000,55534.41000000,57352.79000000,11678.94297124,57352.79
2024-09-12,57352.92000000,58600.00000000,57311.15000000,58137.54000000,10175.62390483,58137.54
2024-09-13,58137.33000000,60670.00000000,57630.01000000,60543.35000000,11935.95544754,60543.35
2024-09-14,60543.35000000,60660.00000000,59436.80000000,60012.35000000,3147.39019631,60012.35
2024-09-15,60012.34000000,60402.34000000,58695.75000000,59122.33000000,3975.35681850,59122.33
2024-09-16,59122.70000000,59214.15000000,57477.00000000,58208.75000000,7654.10991835,58208.75
2024-09-17,58209.76000000,61373.41000000,57620.27000000,60312.60000000,11701.89074715,60312.6
2024-09-18,60317.38000000,61800.00000000,59174.50000000,61769.18000000,11471.50683029,61769.18
2024-09-19,61770.38000000,63891.82000000,61569.16000000,62960.14000000,15075.86835522,62960.14
2024-09-20,62956.04000000,64140.67000000,62340.00000000,63210.69000000,10636.10828090,63210.69
2024-09-21,63210.94000000,63575.63000000,62755.00000000,63362.74000000,1960.85712028,63362.74
2024-09-22,63362.74000000,64000.00000000,62380.55000000,63577.66000000,2882.23419820,63577.66
2024-09-23,63580.39000000,64739.67000000,62566.28000000,63338.87000000,7014.74459935,63338.87
2024-09-24,63338.85000000,64700.00000000,62689.15000000,64272.93000000,8933.46473574,64272.93
2024-09-25,64272.93000000,64811.00000000,62932.80000000,63130.89000000,5909.09510453,63130.89
2024-09-26,63131.13000000,65865.00000000,62652.99000000,65177.21000000,12789.85035505,65177.21
2024-09-27,65176.39000000,66550.00000000,64827.85000000,65789.00000000,9529.01688080,65789.0
2024-09-28,65787.53000000,66266.39000000,65400.00000000,65858.99000000,2755.22680581,65858.99
2024-09-29,65857.33000000,66059.00000000,65433.29000000,65600.01000000,2721.35197741,65600.01
2024-09-30,65600.01000000,65624.95000000,62833.95000000,63301.25000000,10629.74147917,63301.25
2024-10-01,63305.52000000,64106.75000000,60150.89000000,60790.00000000,15970.80295516,60790.0
2024-10-02,60792.63000000,62380.34000000,59969.20000000,60631.37000000,8764.03050337,60631.37
2024-10-03,60631.36000000,61474.92000000,59824.87000000,60744.99000000,7834.55718072,60744.99
2024-10-04,60745.00000000,62481.00000000,60454.50000000,62090.71000000,7884.21831808,62090.71
2024-10-05,62090.70000000,62380.04000000,61686.34000000,62051.29000000,1783.56564961,62051.29
2024-10-06,62051.29000000,62978.75000000,61805.85000000,62810.86000000,2086.21821773,62810.86
2024-10-07,62810.93000000,64467.02000000,62113.28000000,62200.28000000,10707.15000150,62200.28
2024-10-08,62203.82000000,63191.05000000,61824.48000000,62122.02000000,6566.33034742,62122.02
2024-10-09,62118.44000000,62507.68000000,60255.00000000,60578.28000000,7582.36723494,60578.28
2024-10-10,60578.28000000,61271.59000000,58863.90000000,60279.53000000,10462.57962276,60279.53
2024-10-11,60279.53000000,63416.70000000,60029.98000000,62518.75000000,11454.99005340,62518.75
2024-10-12,62518.75000000,63474.25000000,62464.15000000,63187.47000000,3943.90648994,63187.47
2024-10-13,63183.08000000,63270.18000000,62033.00000000,62845.30000000,2257.61460657,62845.3
2024-10-14,62847.89000000,66500.00000000,62426.67000000,66065.65000000,13638.71106556,66065.65
2024-10-15,66065.64000000,67944.76000000,64778.44000000,67056.60000000,16324.01191342,67056.6
2024-10-16,67056.62000000,68399.00000000,66743.00000000,67608.44000000,12465.75691229,67608.44
